Datetime,COMED_MW,Hour,DayOfWeek,Month,lag_1_hour,lag_1_day,lag_1_week
2011-01-08 01:00:00,12044.0,1,5,1,12724.0,11582.0,9631.0
2011-01-08 02:00:00,11494.0,2,5,1,12044.0,11132.0,9273.0
2011-01-08 03:00:00,11218.0,3,5,1,11494.0,10833.0,9011.0
2011-01-08 04:00:00,11035.0,4,5,1,11218.0,10653.0,8741.0
2011-01-08 05:00:00,10989.0,5,5,1,11035.0,10652.0,8694.0
2011-01-08 06:00:00,11025.0,6,5,1,10989.0,10913.0,8711.0
2011-01-08 07:00:00,11326.0,7,5,1,11025.0,11538.0,8943.0
2011-01-08 08:00:00,11757.0,8,5,1,11326.0,12665.0,9222.0
2011-01-08 09:00:00,11991.0,9,5,1,11757.0,13414.0,9430.0
2011-01-08 10:00:00,12164.0,10,5,1,11991.0,13499.0,9670.0
2011-01-08 11:00:00,12315.0,11,5,1,12164.0,13552.0,10125.0
2011-01-08 12:00:00,12376.0,12,5,1,12315.0,13553.0,10538.0
2011-01-08 13:00:00,12308.0,13,5,1,12376.0,13441.0,10782.0
2011-01-08 14:00:00,12151.0,14,5,1,12308.0,13323.0,10861.0
2011-01-08 15:00:00,11919.0,15,5,1,12151.0,13415.0,10784.0
2011-01-08 16:00:00,11717.0,16,5,1,11919.0,13504.0,10928.0
2011-01-08 17:00:00,11750.0,17,5,1,11717.0,13558.0,11133.0
2011-01-08 18:00:00,12316.0,18,5,1,11750.0,14028.0,11924.0
2011-01-08 19:00:00,13212.0,19,5,1,12316.0,14500.0,12665.0
2011-01-08 20:00:00,13196.0,20,5,1,13212.0,14361.0,12701.0
2011-01-08 21:00:00,13104.0,21,5,1,13196.0,14143.0,12630.0
2011-01-08 22:00:00,12897.0,22,5,1,13104.0,13832.0,12513.0
2011-01-08 23:00:00,12607.0,23,5,1,12897.0,13438.0,12252.0
2011-01-09 00:00:00,12011.0,0,6,1,12607.0,12724.0,11778.0
2011-01-09 01:00:00,11469.0,1,6,1,12011.0,12044.0,11199.0
2011-01-09 02:00:00,10936.0,2,6,1,11469.0,11494.0,10682.0
2011-01-09 03:00:00,10634.0,3,6,1,10936.0,11218.0,10376.0
2011-01-09 04:00:00,10531.0,4,6,1,10634.0,11035.0,10247.0
2011-01-09 05:00:00,10478.0,5,6,1,10531.0,10989.0,10161.0
2011-01-09 06:00:00,10499.0,6,6,1,10478.0,11025.0,10220.0
2011-01-09 07:00:00,10670.0,7,6,1,10499.0,11326.0,10346.0
2011-01-09 08:00:00,10955.0,8,6,1,10670.0,11757.0,10651.0
2011-01-09 09:00:00,11053.0,9,6,1,10955.0,11991.0,10710.0
2011-01-09 10:00:00,11113.0,10,6,1,11053.0,12164.0,10834.0
2011-01-09 11:00:00,11179.0,11,6,1,11113.0,12315.0,10945.0
2011-01-09 12:00:00,11154.0,12,6,1,11179.0,12376.0,11078.0
2011-01-09 13:00:00,11116.0,13,6,1,11154.0,12308.0,11127.0
2011-01-09 14:00:00,11028.0,14,6,1,11116.0,12151.0,11141.0
2011-01-09 15:00:00,10959.0,15,6,1,11028.0,11919.0,11057.0
2011-01-09 16:00:00,10880.0,16,6,1,10959.0,11717.0,10973.0
2011-01-09 17:00:00,11105.0,17,6,1,10880.0,11750.0,11074.0
2011-01-09 18:00:00,11772.0,18,6,1,11105.0,12316.0,11929.0
2011-01-09 19:00:00,12671.0,19,6,1,11772.0,13212.0,12841.0
2011-01-09 20:00:00,12716.0,20,6,1,12671.0,13196.0,12956.0
2011-01-09 21:00:00,12619.0,21,6,1,12716.0,13104.0,12849.0
2011-01-09 22:00:00,12368.0,22,6,1,12619.0,12897.0,12689.0
2011-01-09 23:00:00,11975.0,23,6,1,12368.0,12607.0,12274.0
2011-01-10 00:00:00,11382.0,0,0,1,11975.0,12011.0,11662.0
2011-01-10 01:00:00,10817.0,1,0,1,11382.0,11469.0,10897.0
2011-01-10 02:00:00,10462.0,2,0,1,10817.0,10936.0,10494.0
2011-01-10 03:00:00,10274.0,3,0,1,10462.0,10634.0,10279.0
2011-01-10 04:00:00,10202.0,4,0,1,10274.0,10531.0,10165.0
2011-01-10 05:00:00,10285.0,5,0,1,10202.0,10478.0,10199.0
2011-01-10 06:00:00,10606.0,6,0,1,10285.0,10499.0,10440.0
2011-01-10 07:00:00,11369.0,7,0,1,10606.0,10670.0,11096.0
2011-01-10 08:00:00,12574.0,8,0,1,11369.0,10955.0,12125.0
2011-01-10 09:00:00,13321.0,9,0,1,12574.0,11053.0,12687.0
2011-01-10 10:00:00,13208.0,10,0,1,13321.0,11113.0,12682.0
2011-01-10 11:00:00,13159.0,11,0,1,13208.0,11179.0,12707.0
2011-01-10 12:00:00,13089.0,12,0,1,13159.0,11154.0,12662.0
2011-01-10 13:00:00,13036.0,13,0,1,13089.0,11116.0,12573.0
2011-01-10 14:00:00,12909.0,14,0,1,13036.0,11028.0,12514.0
2011-01-10 15:00:00,12901.0,15,0,1,12909.0,10959.0,12463.0
2011-01-10 16:00:00,12871.0,16,0,1,12901.0,10880.0,12500.0
2011-01-10 17:00:00,13011.0,17,0,1,12871.0,11105.0,12594.0
2011-01-10 18:00:00,13620.0,18,0,1,13011.0,11772.0,13206.0
2011-01-10 19:00:00,14197.0,19,0,1,13620.0,12671.0,13873.0
2011-01-10 20:00:00,14018.0,20,0,1,14197.0,12716.0,13712.0
2011-01-10 21:00:00,13818.0,21,0,1,14018.0,12619.0,13505.0
2011-01-10 22:00:00,13482.0,22,0,1,13818.0,12368.0,13175.0
2011-01-10 23:00:00,12949.0,23,0,1,13482.0,11975.0,12613.0
2011-01-11 00:00:00,12073.0,0,1,1,12949.0,11382.0,11763.0
2011-01-11 01:00:00,11263.0,1,1,1,12073.0,10817.0,10941.0
2011-01-11 02:00:00,10747.0,2,1,1,11263.0,10462.0,10426.0
2011-01-11 03:00:00,10457.0,3,1,1,10747.0,10274.0,10171.0
2011-01-11 04:00:00,10320.0,4,1,1,10457.0,10202.0,10044.0
2011-01-11 05:00:00,10339.0,5,1,1,10320.0,10285.0,10065.0
2011-01-11 06:00:00,10630.0,6,1,1,10339.0,10606.0,10370.0
2011-01-11 07:00:00,11359.0,7,1,1,10630.0,11369.0,11063.0
2011-01-11 08:00:00,12537.0,8,1,1,11359.0,12574.0,12341.0
2011-01-11 09:00:00,13201.0,9,1,1,12537.0,13321.0,13040.0
2011-01-11 10:00:00,13279.0,10,1,1,13201.0,13208.0,13114.0
2011-01-11 11:00:00,13380.0,11,1,1,13279.0,13159.0,13194.0
2011-01-11 12:00:00,13468.0,12,1,1,13380.0,13089.0,13257.0
2011-01-11 13:00:00,13369.0,13,1,1,13468.0,13036.0,13223.0
2011-01-11 14:00:00,13317.0,14,1,1,13369.0,12909.0,13173.0
2011-01-11 15:00:00,13295.0,15,1,1,13317.0,12901.0,13144.0
2011-01-11 16:00:00,13226.0,16,1,1,13295.0,12871.0,13049.0
2011-01-11 17:00:00,13256.0,17,1,1,13226.0,13011.0,13070.0
2011-01-11 18:00:00,13699.0,18,1,1,13256.0,13620.0,13705.0
2011-01-11 19:00:00,14402.0,19,1,1,13699.0,14197.0,14527.0
2011-01-11 20:00:00,14278.0,20,1,1,14402.0,14018.0,14466.0
2011-01-11 21:00:00,14043.0,21,1,1,14278.0,13818.0,14312.0
2011-01-11 22:00:00,13739.0,22,1,1,14043.0,13482.0,14038.0
2011-01-11 23:00:00,13141.0,23,1,1,13739.0,12949.0,13498.0
2011-01-12 00:00:00,12275.0,0,2,1,13141.0,12073.0,12600.0
2011-01-12 01:00:00,11510.0,1,2,1,12275.0,11263.0,11829.0
2011-01-12 02:00:00,11043.0,2,2,1,11510.0,10747.0,11324.0
2011-01-12 03:00:00,10736.0,3,2,1,11043.0,10457.0,11062.0
